35702 2012 00016 00091 8  4.00            2012-02-24 00:00:00 00693 00158 10707 1           00097                                                                                                                                                                                                           0.00           
35703 2012 00016 00383 8  1.00            2012-02-24 00:00:00 00693 00158 10707 1           00094                                                                                                                                                                                                           0.00           
35704 2012 00014 00118 6  15.00           2012-02-07 00:00:00 00693 00158 10626 1           00039                                                                                                                                                                                                           0.00           
35705 2012 00014 00381 6  1.00            2012-02-07 00:00:00 00693 00158 10626 1           00033                                                                                                                                                                                                           0.00           
35706 2012 00014 00118 8  15.00           2012-02-24 00:00:00 00693 00158 10655 1           00039                                                                                                                                                                                                           0.00           
35707 2012 00014 00119 8  1.00            2012-02-24 00:00:00 00693 00158 10655 1           00040                                                                                                                                                                                                           0.00           
35708 2012 00014 00381 8  1.00            2012-02-24 00:00:00 00693 00158 10655 1           00033                                                                                                                                                                                                           0.00           
35709 2012 00014 00114 8  35.00           2012-02-24 00:00:00 00693 00158 10765 1           00012                                                                                                                                                                                                           0.00           
35710 2012 00014 00381 8  1.00            2012-02-24 00:00:00 00693 00158 10765 1           00033                                                                                                                                                                                                           0.00           
35711 2012 00016 00096 8  10.00           2012-02-24 00:00:00 00693 00158 10765 1           00097                                                                                                                                                                                                           0.00           
35712 2012 00016 00383 8  1.00            2012-02-24 00:00:00 00693 00158 10765 1           00095                                                                                                                                                                                                           0.00           
35713 2012 00014 00118 6  20.00           2012-02-07 00:00:00 00693 00158 10608 1           00039                                                                                                                                                                                                           0.00           
35714 2012 00014 00381 6  1.00            2012-02-07 00:00:00 00693 00158 10608 1           00012                                                                                                                                                                                                           0.00           
35715 2012 00005 00215 8  2.00            2012-02-24 00:00:00 00693 00158 10771 1           00039                                                                                                                                                                                                           0.00           
35716 2012 00005 00228 8  1.00            2012-02-24 00:00:00 00693 00158 10771 1           00012                                                                                                                                                                                                           0.00           
35717 2012 00014 00125 8  1.00            2012-02-24 00:00:00 00693 00158 10771 1           00029                                                                                                                                                                                                           0.00           
35718 2012 00014 00381 8  1.00            2012-02-24 00:00:00 00693 00158 10771 1           00047                                                                                                                                                                                                           0.00           
35719 2012 00014 00118 6  20.00           2012-02-07 00:00:00 00693 00158 10604 1           00039                                                                                                                                                                                                           0.00           
35720 2012 00014 00381 6  1.00            2012-02-07 00:00:00 00693 00158 10604 1           00047                                                                                                                                                                                                           0.00           
35721 2012 00016 00096 8  20.00           2012-02-24 00:00:00 00693 00158 10630 1           00093                                                                                                                                                                                                           0.00           
35722 2012 00002 00367 8  1.00            2012-02-24 00:00:00 00693 00158 10616 1           00088                                                                                                                                                                                                           0.00           
35723 2012 00002 00373 8  1.00            2012-02-24 00:00:00 00693 00158 10616 1           00010                                                                                                                                                                                                           0.00           
35724 2012 00016 00096 8  6.00            2012-02-24 00:00:00 00693 00158 10616 1           00097                                                                                                                                                                                                           0.00           
35725 2012 00016 00383 8  1.00            2012-02-24 00:00:00 00693 00158 10616 1           00095                                                                                                                                                                                                           0.00           
35726 2012 00014 00118 6  15.00           2012-02-07 00:00:00 00693 00158 10613 1           00039                                                                                                                                                                                                           0.00           
35727 2012 00014 00119 6  1.00            2012-02-07 00:00:00 00693 00158 10613 1           00040                                                                                                                                                                                                           0.00           
35728 2012 00014 00381 6  1.00            2012-02-07 00:00:00 00693 00158 10613 1           00046                                                                                                                                                                                                           0.00           
35729 2012 00005 00231 8  4.00            2012-02-24 00:00:00 00693 00158 10715 1           00033                                                                                                                                                                                                           0.00           
35730 2012 00014 00114 8  30.00           2012-02-24 00:00:00 00693 00158 10715 1           00033                                                                                                                                                                                                           0.00           
35731 2012 00014 00114 7  18.00           2012-02-13 00:00:00 00693 00158 10731 1           00033                                                                                                                                                                                                           0.00           
35732 2012 00014 00381 7  1.00            2012-02-13 00:00:00 00693 00158 10731 1           00012                                                                                                                                                                                                           0.00           
35733 2012 00005 00214 8  1.00            2012-02-24 00:00:00 00693 00158 10536 1           00012                                                                                                                                                                                                           0.00           
35734 2012 00005 00228 8  1.00            2012-02-24 00:00:00 00693 00158 10536 1           00012                                                                                                                                                                                                           0.00           
35735 2012 00016 00096 8  8.00            2012-02-24 00:00:00 00693 00158 10536 1           00095                                                                                                                                                                                                           0.00           
35736 2012 00016 00383 8  1.00            2012-02-24 00:00:00 00693 00158 10536 1           00093                                                                                                                                                                                                           0.00           
35737 2012 00002 00367 8  1.00            2012-02-24 00:00:00 00693 00158 10781 1           00017                                                                                                                                                                                                           0.00           
